Symbol,Security,GICS Sector,GICS Sub-Industry,Symbol_YF,Exchange,Daily_Change,Security_JA,Monex,Rakuten,SBI,MUFG,Matsui,DMM,PayPay,IwaiCosmo
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,A,NYSE,0.03346508563899871,アジレント･テクノロジーズ,true,true,true,true,true,true,false,false
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",AAPL,NASDAQ,0.014753846153846091,アップル,true,true,true,true,true,true,true,true
ABBV,AbbVie,Health Care,Biotechnology,ABBV,NYSE,-0.0025583874406434324,アッヴィ,true,true,true,true,true,true,true,true
ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",ABNB,NASDAQ,0.06325518124349845,エアビーアンドビー,true,true,true,true,true,true,true,true
ABT,Abbott Laboratories,Health Care,Health Care Equipment,ABT,NYSE,0.003241013553329528,アボット･ラボラトリーズ,true,true,true,true,true,true,true,false
ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,ACGL,NASDAQ,0.0034048699958728673,アーチ・キャピタル・グループ,true,true,true,true,true,true,false,false
ACN,Accenture,Information Technology,IT Consulting & Other Services,ACN,NYSE,-0.002381193636639978,アクセンチュア　クラスA,true,true,true,true,true,true,true,false
ADBE,Adobe Inc.,Information Technology,Application Software,ADBE,NASDAQ,0.013492129591071914,アドビ,true,true,true,true,true,true,true,true
ADI,Analog Devices,Information Technology,Semiconductors,ADI,NASDAQ,0.057206560581533734,アナログ・デバイシズ,true,true,true,true,true,true,true,true
ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,ADM,NYSE,-0.04531596452328154,アーチャーダニエルズ・ミッドランド,true,true,true,true,true,true,false,true
ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,ADP,NASDAQ,0.0062374146652913985,オートマチック・データ・プロセシング,true,true,true,true,true,true,true,false
ADSK,Autodesk,Information Technology,Application Software,ADSK,NASDAQ,0.023450800136193356,オートデスク,true,true,true,true,true,true,true,false
AEE,Ameren,Utilities,Multi-Utilities,AEE,NYSE,-0.00458097547830778,アメレン・コーポレーション,true,true,true,true,true,true,false,false
AEP,American Electric Power,Utilities,Electric Utilities,AEP,NASDAQ,-0.00030093289196503196,アメリカン・エレクトリック・パワー,true,true,true,true,true,true,false,false
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,AES,NYSE,0.0013864818024263135,エーイーエス,true,true,true,true,true,true,false,false
AFL,Aflac,Financials,Life & Health Insurance,AFL,NYSE,0.007146734213859164,アフラック,true,true,true,true,true,true,false,false
AIG,American International Group,Financials,Multi-line Insurance,AIG,NYSE,0.009319419833300436,エーアイジー,true,true,true,true,true,true,false,false
AIZ,Assurant,Financials,Multi-line Insurance,AIZ,NYSE,0.007524056694294976,アシュラント,true,true,true,true,true,true,false,false
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,AJG,NYSE,0.012817567877980524,アーサー・ジェイ・ギャラガー,true,true,true,true,true,true,true,false
AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,AKAM,NASDAQ,0.022390025463166187,アカマイ・テクノロジーズ,true,true,true,true,true,true,false,false
ALB,Albemarle Corporation,Materials,Specialty Chemicals,ALB,NYSE,0.011637285401543851,アルビマール,true,true,true,true,true,true,false,true
ALGN,Align Technology,Health Care,Health Care Supplies,ALGN,NASDAQ,0.07365074608977044,アライン・テクノロジー,true,true,true,true,true,true,false,false
ALL,Allstate,Financials,Property & Casualty Insurance,ALL,NYSE,-0.0019001923944799682,オールステート,true,true,true,true,true,true,false,false
ALLE,Allegion,Industrials,Building Products,ALLE,NYSE,0.037520625582897045,アレジオン,true,true,true,true,true,true,false,false
AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,AMAT,NASDAQ,0.09033050153820099,アプライド・マテリアルズ,true,true,true,true,true,true,true,true
AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials,AMCR,NYSE,0.06914212548015372,アムコー,true,true,true,true,true,true,false,false
AMD,Advanced Micro Devices,Information Technology,Semiconductors,AMD,NASDAQ,0.036879880828781596,アドバンスト・マイクロ・デバイシズ,true,true,true,true,true,true,true,true
AME,Ametek,Industrials,Electrical Components & Equipment,AME,NYSE,0.04409130574564839,アメテック,true,true,true,true,true,true,false,false
AMGN,Amgen,Health Care,Biotechnology,AMGN,NASDAQ,0.01450000000000002,アムジェン,true,true,true,true,true,true,true,false
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,AMP,NYSE,0.046239631656274253,アメリプライズ・フィナンシャル,true,true,true,true,true,true,false,false
AMT,American Tower,Real Estate,Telecom Tower REITs,AMT,NYSE,0.00419275170868985,アメリカン・タワー,false,false,false,false,false,false,false,false
AMZN,Amazon,Consumer Discretionary,Broadline Retail,AMZN,NASDAQ,0.03241801936660887,アマゾン･ドットコム,true,true,true,true,true,true,true,true
ANET,Arista Networks,Information Technology,Communications Equipment,ANET,NYSE,0.07831325301204822,アリスタネットワークス,true,true,true,true,true,true,true,true
AON,Aon plc,Financials,Insurance Brokers,AON,NYSE,0.010307360850628658,エーオン,true,true,true,true,true,true,true,false
AOS,A. O. Smith,Industrials,Building Products,AOS,NYSE,0.04376947040498446,エー・オー・スミス,true,true,true,true,true,true,false,false
APA,APA Corporation,Energy,Oil & Gas Exploration & Production,APA,NASDAQ,-0.11801675977653632,アパッチ,true,true,true,true,true,true,false,false
APD,Air Products,Materials,Industrial Gases,APD,NYSE,-0.032253651195403105,エアー・プロダクツ・アンド・ケミカルズ,true,true,true,true,true,true,true,false
APH,Amphenol,Information Technology,Electronic Components,APH,NYSE,0.05165238392022435,アンフェノール クラスA,true,true,true,true,true,true,true,false
APO,Apollo Global Management,Financials,Asset Management & Custody Banks,APO,NYSE,0.06164578587699321,アポロ・グローバル・マネジメント,true,false,true,false,true,false,false,false
APP,AppLovin,Information Technology,Application Software,APP,NASDAQ,0.03304989767079231,アップラビン,true,true,true,true,true,true,true,true
APTV,Aptiv,Consumer Discretionary,Automotive Parts & Equipment,APTV,NYSE,0.05906593406593402,アプティブ・ホールディングス,true,true,true,true,true,true,false,false
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,ARE,NYSE,0.021980512123272122,アレクサンドリア・リアル・エステート・エクイティーズ,false,false,false,false,false,false,false,false
ARES,Ares Management,Financials,Asset Management & Custody Banks,ARES,NYSE,0.048894973596714256,アレス・マネジメント　クラスA,true,true,true,true,true,true,false,false
ATO,Atmos Energy,Utilities,Gas Utilities,ATO,NYSE,-0.007234087657003599,アトモス・エナジー,true,true,true,true,true,true,false,false
AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,AVB,NYSE,0.016994633273703177,アバロンベイ・コミュニティーズ,false,false,false,false,false,false,false,false
AVGO,Broadcom,Information Technology,Semiconductors,AVGO,NASDAQ,0.042428960685091346,ブロードコム,true,true,true,true,true,true,true,true
AVY,Avery Dennison,Materials,Paper & Plastic Packaging Products & Materials,AVY,NYSE,0.04437552188953834,エイブリー・デニソン,true,true,true,true,true,true,false,false
AWK,American Water Works,Utilities,Water Utilities,AWK,NYSE,-0.02515700036941264,アメリカン・ウォーター・ワークス,true,true,true,true,true,true,false,false
AXON,Axon Enterprise,Industrials,Aerospace & Defense,AXON,NASDAQ,0.08348754257516024,アクソン・エンタープライズ,true,true,true,true,true,true,true,false
AXP,American Express,Financials,Consumer Finance,AXP,NYSE,0.04623929118212317,アメリカン・エキスプレス,true,true,true,true,true,true,true,false
AZO,AutoZone,Consumer Discretionary,Automotive Retail,AZO,NYSE,0.017285688152436265,オートゾーン,true,true,true,true,true,true,true,false
BA,Boeing,Industrials,Aerospace & Defense,BA,NYSE,0.03961602461341622,ボーイング,true,true,true,true,true,true,true,true
BAC,Bank of America,Financials,Diversified Banks,BAC,NYSE,0.034493041749502976,バンク・オブ・アメリカ,true,true,true,true,true,true,true,false
BALL,Ball Corporation,Materials,"Metal, Glass & Plastic Containers",BALL,NYSE,0.03737135144255097,ボール,true,true,true,true,true,true,false,false
BAX,Baxter International,Health Care,Health Care Equipment,BAX,NYSE,0.05592303066746842,バクスター・インターナショナル,true,true,true,true,true,true,false,false
BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail,BBY,NYSE,0.020839837652200963,ベスト・バイ,true,true,true,true,true,true,false,false
BDX,Becton Dickinson,Health Care,Health Care Equipment,BDX,NYSE,0.022003548959509577,ベクトン・ディッキンソン,true,true,true,true,true,true,true,false
BEN,Franklin Resources,Financials,Asset Management & Custody Banks,BEN,NYSE,0.05866274179983177,フランクリン・リソーシズ,true,true,true,true,true,true,false,false
BF.B,Brown–Forman,Consumer Staples,Distillers & Vintners,BF-B,NYSE,0.02032749858836812,ブラウン・フォーマン クラスB,true,true,false,false,true,false,false,false
BG,Bunge Global,Consumer Staples,Agricultural Products & Services,BG,NYSE,-0.038569010980361335,ブンゲ・グローバル,true,true,true,true,true,true,false,false
BIIB,Biogen,Health Care,Biotechnology,BIIB,NASDAQ,0.009338875918227813,バイオジェン,true,true,true,true,true,true,false,false
BK,BNY Mellon,Financials,Asset Management & Custody Banks,BK,NYSE,0.018649981951630278,バンク・オブ・ニューヨーク・メロン,true,true,true,true,true,true,false,false
BKNG,Booking Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",BKNG,NASDAQ,0.06470215097168559,ブッキング・ ホールディングス,true,true,true,true,true,true,true,false
BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,BKR,NASDAQ,0.008000000000000033,ベーカー・ヒューズ,true,true,true,true,true,true,false,false
BLDR,Builders FirstSource,Industrials,Building Products,BLDR,NYSE,0.08785153280972893,ビルダーズ・ファーストソース,true,true,true,true,true,true,false,false
BLK,BlackRock,Financials,Asset Management & Custody Banks,BLK,NYSE,0.0529743916183162,ブラックロック・ファンディング,true,true,true,true,true,true,true,false
BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals,BMY,NYSE,0.007282816022195278,ブリストル・マイヤーズ,true,true,true,true,true,true,true,false
BR,Broadridge Financial Solutions,Industrials,Data Processing & Outsourced Services,BR,NYSE,0.012124999999999986,ブロードリッジ・フィナンシャル・ソリューションズ,true,true,true,true,true,true,false,false
BRK.B,Berkshire Hathaway,Financials,Multi-Sector Holdings,BRK-B,NYSE,0.006673291353737417,バークシャー・ハサウェイ　クラスB,true,true,false,false,true,true,false,false
BRO,Brown & Brown,Financials,Insurance Brokers,BRO,NYSE,0.009189514914130755,ブラウン・アンド・ブラウン,true,true,true,true,true,true,false,false
BSX,Boston Scientific,Health Care,Health Care Equipment,BSX,NYSE,0.014953119948270243,ボストン・サイエンティフィック,true,true,true,true,true,true,true,false
BX,Blackstone Inc.,Financials,Asset Management & Custody Banks,BX,NYSE,0.05450594287741716,ブラックストーン,true,true,true,true,true,true,true,false
BXP,"BXP, Inc.",Real Estate,Office REITs,BXP,NYSE,0.028121376111325827,BXP,false,false,false,false,false,false,false,false
C,Citigroup,Financials,Diversified Banks,C,NYSE,0.05824351723401977,シティグループ,true,true,true,true,true,true,true,true
CAG,Conagra Brands,Consumer Staples,Packaged Foods & Meats,CAG,NYSE,0.010329244673983225,コナグラ・ブランズ,true,true,true,true,true,true,false,false
CAH,Cardinal Health,Health Care,Health Care Distributors,CAH,NYSE,0.0027733383472783838,カーディナル・ヘルス,true,true,true,true,true,true,false,false
CARR,Carrier Global,Industrials,Building Products,CARR,NYSE,0.05500450856627587,キャリア・グローバル,true,true,true,true,true,true,false,false
CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Transportation Equipment,CAT,NYSE,0.06372116127607896,キャタピラー,true,true,true,true,true,true,true,true
CB,Chubb Limited,Financials,Property & Casualty Insurance,CB,NYSE,-0.005787673324781744,チャブ,true,true,true,true,true,true,true,false
CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,CBOE,BTS,-0.012871853546910906,シービーオーイー・マーケッツ,true,true,true,false,true,false,false,false
CBRE,CBRE Group,Real Estate,Real Estate Services,CBRE,NYSE,0.04267497464135622,CBREグループ,true,true,true,true,true,true,false,false
CCI,Crown Castle,Real Estate,Telecom Tower REITs,CCI,NYSE,0.0,クラウン・キャッスル,false,false,false,false,false,false,false,false
CCL,Carnival,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",CCL,NYSE,0.1342721142403807,カーニバル,true,true,true,true,true,true,true,true
CDNS,Cadence Design Systems,Information Technology,Application Software,CDNS,NASDAQ,0.026907113210247535,ケイデンス・デザイン・システムズ,true,true,true,true,true,true,true,true
CDW,CDW Corporation,Information Technology,Technology Distributors,CDW,NASDAQ,0.02102029266715182,CDWコープ,true,true,true,true,true,true,false,false
CEG,Constellation Energy,Utilities,Electric Utilities,CEG,NASDAQ,0.04134565998972793,コンステレーション・エナジー,true,true,true,true,true,true,true,true
CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,CF,NYSE,-0.11036364315879957,シーエフ・インダストリーズ・ホールディングス,true,true,true,true,true,true,false,false
CFG,Citizens Financial Group,Financials,Regional Banks,CFG,NYSE,0.03896103896103894,シチズンズ・フィナンシャル・グループ,true,true,true,true,true,true,false,false
CHD,Church & Dwight,Consumer Staples,Household Products,CHD,NYSE,0.013936905790838288,チャーチ・アンド・ドワイト,true,true,true,true,true,true,false,false
CHRW,C.H. Robinson,Industrials,Air Freight & Logistics,CHRW,NASDAQ,0.03314268512944007,シー・エイチ・ロビンソン・ワールドワイド,true,true,true,true,true,true,false,false
CHTR,Charter Communications,Communication Services,Cable & Satellite,CHTR,NASDAQ,-0.0035746201966041615,チャーター・コミュニケーションズ クラスA,true,true,true,true,true,true,true,false
CI,Cigna,Health Care,Health Care Services,CI,NYSE,-0.004448658109685047,ザ・シグナ・グループ,true,true,true,true,true,true,true,false
CIEN,Ciena,Information Technology,Communications Equipment,CIEN,NYSE,0.07491631332291897,シエナ,true,true,true,true,true,true,false,true
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,CINF,NASDAQ,0.007803720814084155,シンシナティ・フィナンシャル,true,true,true,true,true,true,false,false
CL,Colgate-Palmolive,Consumer Staples,Household Products,CL,NYSE,0.02051004450860097,コルゲート・パルモリーブ,true,true,true,true,true,true,true,false
CLX,Clorox,Consumer Staples,Household Products,CLX,NYSE,0.048275192858182464,クロロックス・カンパニー,true,true,true,true,true,true,false,false
CMCSA,Comcast,Communication Services,Cable & Satellite,CMCSA,NASDAQ,0.0,コムキャスト クラスA,true,true,true,true,true,true,true,false
CME,CME Group,Financials,Financial Exchanges & Data,CME,NASDAQ,-0.029718591023246706,シーエムイー・グループ,true,true,true,true,true,true,true,false
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,CMG,NYSE,0.0467190807378289,チポトレ・メキシカン・グリル,true,true,true,true,true,true,true,false
CMI,Cummins,Industrials,Construction Machinery & Heavy Transportation Equipment,CMI,NYSE,0.06848306332842415,カミンズ,true,true,true,true,true,true,false,false
CMS,CMS Energy,Utilities,Multi-Utilities,CMS,NYSE,-0.006488549618320495,シーエムエス・エナジー,true,true,true,true,true,true,false,false
CNC,Centene Corporation,Health Care,Managed Health Care,CNC,NYSE,0.02149352438688347,センティーン,true,true,true,true,true,true,false,false
CNP,CenterPoint Energy,Utilities,Multi-Utilities,CNP,NYSE,-0.006305893143774331,センターポイント・エナジー,true,true,true,true,true,true,false,false
COF,Capital One,Financials,Consumer Finance,COF,NYSE,0.06718274813381259,キャピタル・ワン・フィナンシャル,true,true,true,true,true,true,true,false
COHR,Coherent Corp.,Information Technology,Electronic Components,COHR,NYSE,0.08712611235250302,コヒレント,true,true,true,true,true,true,false,true
COIN,Coinbase,Financials,Financial Exchanges & Data,COIN,NASDAQ,0.04126498458728169,コインベース・グローバル,true,true,true,true,true,true,true,true
COO,Cooper Companies (The),Health Care,Health Care Supplies,COO,NASDAQ,0.029859316681022083,クーパー,true,true,true,true,true,true,false,false
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,COP,NYSE,-0.06499962055096009,コノコ・フィリップス,true,true,true,true,true,true,true,false
COR,Cencora,Health Care,Health Care Distributors,COR,NYSE,-0.0024459781575709256,センコア,true,true,true,true,true,true,false,false
COST,Costco,Consumer Staples,Consumer Staples Merchandise Retail,COST,NASDAQ,0.0035876077022532257,コストコ・ホールセール,true,true,true,true,true,true,true,true
CPAY,Corpay,Financials,Transaction & Payment Processing Services,CPAY,NYSE,0.03976716720094472,コーペイ,true,true,true,true,true,true,false,false
CPB,Campbell's Company (The),Consumer Staples,Packaged Foods & Meats,CPB,NASDAQ,0.001920498084291306,ザ・キャンベルズ,true,true,true,true,true,true,true,false
CPRT,Copart,Industrials,Diversified Support Services,CPRT,NASDAQ,0.02114164904862588,コパート,true,true,true,true,true,true,false,false
CPT,Camden Property Trust,Real Estate,Multi-Family Residential REITs,CPT,NYSE,0.014772952607574805,カムデン・プロパティ・トラスト,false,false,false,false,false,false,false,false
CRH,CRH plc,Materials,Construction Materials,CRH,NYSE,0.07546991593463677,CRH,true,true,true,true,true,false,false,false
CRL,Charles River Laboratories,Health Care,Life Sciences Tools & Services,CRL,NYSE,0.05110521662245793,チャールス・リバー・ラボラトリーズ,true,true,true,true,true,true,false,false
CRM,Salesforce,Information Technology,Application Software,CRM,NYSE,0.0029241364232618964,セールスフォース,true,true,true,true,true,true,true,true
CRWD,CrowdStrike,Information Technology,Systems Software,CRWD,NASDAQ,0.032464617347541545,クラウドストライク・ホールディングス　クラスA,true,true,true,true,true,true,true,true
CSCO,Cisco,Information Technology,Communications Equipment,CSCO,NASDAQ,0.015516856717897768,シスコシステムズ,true,true,true,true,true,true,true,true
CSGP,CoStar Group,Real Estate,Real Estate Services,CSGP,NASDAQ,0.014690982776089297,コスター・グループ,true,true,true,true,true,true,true,false
CSX,CSX Corporation,Industrials,Rail Transportation,CSX,NASDAQ,0.014123611781747968,シーエスエックス,true,true,true,true,true,true,true,false
CTAS,Cintas,Industrials,Diversified Support Services,CTAS,NASDAQ,0.025340615456894512,シンタス,true,true,true,true,true,true,false,false
CTRA,Coterra,Energy,Oil & Gas Exploration & Production,CTRA,NYSE,-0.07648238327126883,コテラ・エナジー・インク,true,true,true,true,true,true,false,false
CTSH,Cognizant,Information Technology,IT Consulting & Other Services,CTSH,NASDAQ,0.004147015774922678,コグニザント・テクノロジー・ソリューションズ クラスA,true,true,true,true,true,true,false,false
CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,CTVA,NYSE,-0.01711004336106872,コルテバ,true,true,true,true,true,true,false,false
CVNA,Carvana,Consumer Discretionary,Automotive Retail,CVNA,NYSE,0.05573770491803286,カーヴァナ,true,true,true,true,true,true,false,false
CVS,CVS Health,Health Care,Health Care Services,CVS,NYSE,0.0,シーブイエス・ヘルス,true,true,true,true,true,true,true,false
CVX,Chevron Corporation,Energy,Integrated Oil & Gas,CVX,NYSE,-0.04867761623579617,シェブロン,true,true,true,true,true,true,true,true
D,Dominion Energy,Utilities,Multi-Utilities,D,NYSE,-0.004147391928537215,ドミニオン・エナジー,true,true,true,true,true,true,false,true
DAL,Delta Air Lines,Industrials,Passenger Airlines,DAL,NYSE,0.0939500152392562,デルタ航空,true,true,true,true,true,true,true,true
DASH,DoorDash,Consumer Discretionary,Specialized Consumer Services,DASH,NASDAQ,0.059268762026940223,ドアダッシュ,true,true,true,true,true,true,true,false
DD,DuPont,Materials,Specialty Chemicals,DD,NYSE,0.04271908631671426,デュポン・ド・ヌムール,true,true,true,true,true,true,false,false
DDOG,Datadog,Information Technology,Application Software,DDOG,NASDAQ,0.03020422172644582,データドッグ　クラスA,true,true,true,true,true,true,true,true
DE,Deere & Company,Industrials,Agricultural & Farm Machinery,DE,NYSE,0.03888888888888885,ディア,true,true,true,true,true,true,true,false
DECK,Deckers Brands,Consumer Discretionary,Footwear,DECK,NYSE,0.06303610612407733,デッカーズ・アウトドア,true,true,true,true,true,true,false,false
DELL,Dell Technologies,Information Technology,"Technology Hardware, Storage & Peripherals",DELL,NYSE,0.05132534188755701,デル・テクノロジーズ,true,true,true,true,true,true,true,true
DG,Dollar General,Consumer Staples,Consumer Staples Merchandise Retail,DG,NYSE,0.021120369606468133,ダラー・ゼネラル,true,true,true,true,true,true,true,false
DGX,Quest Diagnostics,Health Care,Health Care Services,DGX,NYSE,-0.009603170570601163,クエスト・ダイアグノスティクス,true,true,true,true,true,true,false,false
DHI,D. R. Horton,Consumer Discretionary,Homebuilding,DHI,NYSE,0.06383599620631794,ディーアール・ホートン,true,true,true,true,true,true,true,false
DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services,DHR,NYSE,0.030155489241401077,ダナハー,true,true,true,true,true,true,true,false
DIS,Walt Disney Company (The),Communication Services,Movies & Entertainment,DIS,NYSE,0.029861140112758432,ウォルト・ディズニー,true,true,true,true,true,true,true,true
DLR,Digital Realty,Real Estate,Data Center REITs,DLR,NYSE,0.007811643460146977,デジタル・リアルティ,false,false,false,false,false,false,false,false
DLTR,Dollar Tree,Consumer Staples,Consumer Staples Merchandise Retail,DLTR,NASDAQ,0.02800225521518515,ダラー・ツリー,true,true,true,true,true,true,true,false
DOC,Healthpeak Properties,Real Estate,Health Care REITs,DOC,NYSE,0.00770142180094802,ヘルスピーク・プロパティーズ,false,false,false,false,false,false,false,false
DOV,Dover Corporation,Industrials,Industrial Machinery & Supplies & Components,DOV,NYSE,0.04650910667823072,ドーバー,true,true,true,true,true,true,false,false
DOW,Dow Inc.,Materials,Commodity Chemicals,DOW,NYSE,-0.10140062786766478,ダウ,true,true,true,true,true,true,true,false
DPZ,Domino's,Consumer Discretionary,Restaurants,DPZ,NASDAQ,0.010498438136629117,ドミノ･ピザ,true,true,true,true,true,true,true,false
DRI,Darden Restaurants,Consumer Discretionary,Restaurants,DRI,NYSE,0.03341551697004671,ダーデン・レストランツ,true,true,true,true,true,true,false,false
DTE,DTE Energy,Utilities,Multi-Utilities,DTE,NYSE,-0.0010791124300262803,ディーティーイー・エナジー・カンパニー,true,true,true,true,true,true,false,false
DUK,Duke Energy,Utilities,Electric Utilities,DUK,NYSE,-0.0109998482779547,デューク・エナジー,true,true,true,true,true,true,true,false
DVA,DaVita,Health Care,Health Care Services,DVA,NYSE,0.011022044088176391,ダビータ,true,true,true,true,true,true,false,false
DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,DVN,NYSE,-0.07627627627627631,デボン・エナジー・コーポレーション,true,true,true,true,true,true,true,false
DXCM,Dexcom,Health Care,Health Care Equipment,DXCM,NASDAQ,0.031532245286008474,デクスコム,true,true,true,true,true,true,true,false
EA,Electronic Arts,Communication Services,Interactive Home Entertainment,EA,NASDAQ,0.00009806325079681409,エレクトロニック・アーツ,true,true,true,true,true,true,false,false
EBAY,eBay Inc.,Consumer Discretionary,Broadline Retail,EBAY,NASDAQ,0.01989376106655553,イーベイ,true,true,true,true,true,true,true,false
ECL,Ecolab,Materials,Specialty Chemicals,ECL,NYSE,0.031857698467170056,エコラボ,true,true,true,true,true,true,false,false
ED,Consolidated Edison,Utilities,Multi-Utilities,ED,NYSE,-0.019002271535907715,コンソリデーテッド・エジソン,true,true,true,true,true,true,false,false
EFX,Equifax,Industrials,Research & Consulting Services,EFX,NYSE,0.029531456225252994,エキファックス,true,true,true,true,true,true,false,false
EG,Everest Group,Financials,Reinsurance,EG,NYSE,0.004505467652269604,エベレスト・リ・グループ,true,true,true,true,true,true,false,false
EIX,Edison International,Utilities,Electric Utilities,EIX,NYSE,0.010329155763668916,エジソン・インターナショナル,true,true,true,true,true,true,false,false
EL,Estée Lauder Companies (The),Consumer Staples,Personal Care Products,EL,NYSE,0.04749168714760729,エスティローダー クラスA,true,true,true,true,true,true,true,false
ELV,Elevance Health,Health Care,Managed Health Care,ELV,NYSE,0.008145463874547095,エレバンス・ヘルス,true,true,false,true,true,true,true,false
EME,Emcor,Industrials,Construction & Engineering,EME,NYSE,0.0527437968071214,エムコア・グループ,true,true,true,true,true,true,false,false
EMR,Emerson Electric,Industrials,Electrical Components & Equipment,EMR,NYSE,0.06587938205585268,エマーソン・エレクトリック,true,true,true,true,true,true,false,false
EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,EOG,NYSE,-0.060805657630173905,イーオージー・リソーシズ,true,true,true,true,true,true,true,false
EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,EPAM,NYSE,0.022016092981671974,イーピーエーエム・システムズ,true,true,true,true,true,true,false,false
EQIX,Equinix,Real Estate,Data Center REITs,EQIX,NASDAQ,0.007743549523970325,エクイニクス,false,false,false,false,false,false,false,false
EQR,Equity Residential,Real Estate,Multi-Family Residential REITs,EQR,NYSE,0.011127719647899048,エクイティ・レジデンシャル,false,false,false,false,false,false,false,false
EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production,EQT,NYSE,-0.023397594331850298,イーキューティー,true,true,true,true,true,true,true,false
